,medicine_id,medicine_name,medicine_supplier,stock
0,168334,Singulair,AmerisourceBergen,48
1,122632,Qsymia,CARDINAL,79
2,185679,Xanax,AmerisourceBergen,76
3,175670,Ethinyl estradiol / norethindrone,CARDINAL,123
4,181703,Escitalopram,CARDINAL,136
5,147674,Effexor XR,McKesson,157
6,179227,Asenapine,CARDINAL,182
7,100189,Levonorgestrel,AmerisourceBergen,178
8,134492,Relistor,AmerisourceBergen,139
9,143216,Carisoprodol,AmerisourceBergen,129
10,193318,Ethinyl estradiol / norethindrone,AmerisourceBergen,145
11,182059,Keytruda,McKesson,18
12,143542,Bupropion / naltrexone,McKesson,8
13,114623,BuSpar,McKesson,121
14,114740,Pseudoephedrine,CARDINAL,18
15,195341,Levofloxacin,McKesson,4
16,136782,EnteraGam,CARDINAL,129
17,171601,Phendimetrazine,AmerisourceBergen,5
18,173042,Sprintec,AmerisourceBergen,148
19,127462,Etodolac,CARDINAL,12
20,134485,Nexplanon,AmerisourceBergen,59
21,142030,Bupropion / naltrexone,CARDINAL,153
22,104371,Prenatal Plus,CARDINAL,13
23,155897,Microgestin Fe 1 / 20,AmerisourceBergen,129
24,164186,Implanon,CARDINAL,35
25,135363,Imiquimod,AmerisourceBergen,124
26,186694,Hydromet,CARDINAL,27
27,172262,Ondansetron,McKesson,79
28,133440,Aluminum chloride hexahydrate,McKesson,134
29,183786,Oxymorphone,CARDINAL,129
30,192758,Propranolol,AmerisourceBergen,94
31,184403,Depo-Provera,McKesson,17
32,186240,Etonogestrel,AmerisourceBergen,85
33,138862,Mucinex,AmerisourceBergen,111
34,135866,Copper,CARDINAL,125
35,138594,Nalbuphine,McKesson,152
36,162397,Sertraline,CARDINAL,70
37,172501,Effexor XR,CARDINAL,191
38,179404,Tofacitinib,McKesson,192
39,193459,Ethinyl estradiol / norethindrone,McKesson,21
40,196337,Buprenorphine / naloxone,CARDINAL,100
41,127082,Plavix,AmerisourceBergen,153
42,171229,Ethinyl estradiol / levonorgestrel,AmerisourceBergen,25
43,130986,Doxycycline,AmerisourceBergen,68
44,155362,Trazodone,AmerisourceBergen,35
45,113069,Ustekinumab,McKesson,102
46,107856,Sertraline,CARDINAL,60
47,142760,Alprazolam,CARDINAL,164
48,111950,Levonorgestrel,CARDINAL,50
49,176385,Drospirenone / ethinyl estradiol,AmerisourceBergen,165
50,139103,Lurasidone,McKesson,127
51,104058,Enbrel,McKesson,148
52,183616,Junel Fe 1 / 20,AmerisourceBergen,99
53,159526,Imiquimod,McKesson,150
54,119880,Implanon,McKesson,169
55,107417,Ivermectin,AmerisourceBergen,141
56,167608,Motrin IB,McKesson,1
57,197949,Citric acid / magnesium oxide / sodium picosulfate,CARDINAL,34
58,101369,Tamsulosin,McKesson,76
59,139806,Tioconazole,McKesson,18
60,166212,Meperidine,CARDINAL,6
61,172570,Etonogestrel,CARDINAL,61
62,102465,Amitriptyline,CARDINAL,23
63,178046,Duloxetine,CARDINAL,102
64,134543,Nuvigil,McKesson,7
65,178287,Bronkaid,McKesson,10
66,180488,Concerta,McKesson,165
67,168205,Tylenol,CARDINAL,182
68,140602,Dextromethorphan,McKesson,81
69,182432,Tioconazole,AmerisourceBergen,180
70,177583,Etonogestrel,McKesson,27
71,153726,Imiquimod,AmerisourceBergen,93
72,195290,Cetirizine,AmerisourceBergen,65
73,193360,Implanon,McKesson,113
74,167809,Nasonex,McKesson,24
75,168409,Midazolam,CARDINAL,18
76,100751,Vardenafil,CARDINAL,119
77,135654,Miconazole,CARDINAL,151
78,194216,Empagliflozin / linagliptin,AmerisourceBergen,96
79,152568,Sinemet,CARDINAL,99
80,159940,Bupropion,CARDINAL,4
81,158784,Divalproex sodium,McKesson,68
82,165953,OxyContin,AmerisourceBergen,78
83,114797,Avinza,McKesson,85
84,109670,NuvaRing,CARDINAL,88
85,170225,Norethindrone,McKesson,26
86,149290,Gabapentin,AmerisourceBergen,8
87,127351,Nexplanon,CARDINAL,6
88,134607,Tioconazole,CARDINAL,137
89,142960,Pentosan polysulfate sodium,CARDINAL,43
90,143395,Hydromet,McKesson,35
91,197219,Ethinyl estradiol / norethindrone,McKesson,70
92,154597,Differin,McKesson,19
93,105954,Drospirenone / ethinyl estradiol,CARDINAL,125
94,183096,Skyla,McKesson,58
95,142097,Celexa,McKesson,81
96,146447,Acetaminophen / hydrocodone,McKesson,48
97,110947,Ethinyl estradiol / norethindrone,McKesson,131
98,100747,Etonogestrel,McKesson,94
99,156601,Gabapentin,AmerisourceBergen,56
100,169711,Varenicline,McKesson,166
101,121795,Phentermine / topiramate,AmerisourceBergen,33
102,172014,Desvenlafaxine,McKesson,142
103,120628,Bactrim,CARDINAL,181
104,196152,Depo-Provera,McKesson,23
105,128790,Methylphenidate,CARDINAL,147
106,195794,Sprintec,AmerisourceBergen,169
107,170119,Trazodone,McKesson,106
108,119908,Metformin,CARDINAL,182
109,157865,Esterified estrogens / methyltestosterone,AmerisourceBergen,45
110,146804,Xarelto,AmerisourceBergen,107
111,161602,Lorcaserin,AmerisourceBergen,74
112,117397,Tramadol,CARDINAL,147
113,161063,Etonogestrel,McKesson,136
114,132740,Duloxetine,CARDINAL,48
115,154620,Ethinyl estradiol / levonorgestrel,McKesson,148
116,112775,Zoloft,CARDINAL,192
117,142061,Prevacid,CARDINAL,16
118,152418,Linaclotide,McKesson,117
119,119420,Terbinafine,McKesson,117
120,104103,Acetaminophen / butalbital / caffeine,AmerisourceBergen,150
121,154554,Glatiramer,CARDINAL,44
122,124814,Venlafaxine,AmerisourceBergen,116
123,105008,Lamictal,CARDINAL,182
124,120774,Benzonatate,CARDINAL,108
125,164122,Ciprofloxacin,McKesson,148
126,173975,Prednisone,McKesson,51
127,170689,Buspirone,AmerisourceBergen,56
128,111454,Etonogestrel,CARDINAL,25
129,173063,Ethinyl estradiol / norethindrone,McKesson,57
130,113099,Ciclopirox,CARDINAL,189
131,169716,Ethinyl estradiol / norgestimate,McKesson,4
132,149610,Blisovi Fe 1 / 20,CARDINAL,199
133,123679,ParaGard,AmerisourceBergen,65
134,106251,Linaclotide,McKesson,87
135,108042,Oseltamivir,McKesson,145
136,145556,Drysol,AmerisourceBergen,182
137,159982,Tramadol,McKesson,117
138,161264,Duloxetine,AmerisourceBergen,67
139,106188,Tapentadol,McKesson,61
140,194430,Levofloxacin,AmerisourceBergen,99
141,137742,Accutane,CARDINAL,125
142,195368,Vortioxetine,AmerisourceBergen,185
143,164710,Ortho Tri-Cyclen Lo,CARDINAL,70
144,105069,Aluminum chloride hexahydrate,McKesson,47
145,173993,Macrobid,McKesson,152
146,104326,Topiramate,CARDINAL,133
147,143869,Acetaminophen / hydrocodone,AmerisourceBergen,133
148,106099,Adipex-P,McKesson,199
149,183059,Acetaminophen / oxycodone,AmerisourceBergen,106
150,171451,Diazepam,AmerisourceBergen,126
151,165699,Citalopram,McKesson,69
152,136728,Imiquimod,McKesson,148
153,162394,Divalproex sodium,CARDINAL,63
154,106831,Depo-Provera,McKesson,149
155,148826,Hydroxyzine,McKesson,146
156,113323,Promethazine,CARDINAL,109
157,158017,Bupropion / naltrexone,AmerisourceBergen,183
158,134074,Aripiprazole,CARDINAL,87
159,176657,Zioptan,CARDINAL,97
160,171782,Depo-Provera,CARDINAL,76
161,183306,Mirena,AmerisourceBergen,72
162,186005,Victoza,AmerisourceBergen,166
163,166275,Tylenol PM,McKesson,26
164,120657,Phentermine,AmerisourceBergen,125
165,198547,Ethinyl estradiol / norelgestromin,AmerisourceBergen,7
166,116698,Suprep Bowel Prep Kit,CARDINAL,52
167,149944,Zoster vaccine live,McKesson,87
168,198257,Levonorgestrel,CARDINAL,26
169,185258,Phentermine,CARDINAL,21
170,179933,Tramadol,AmerisourceBergen,180
171,173438,Adapalene / benzoyl peroxide,CARDINAL,49
172,157006,Zoloft,McKesson,101
173,115794,Hydrocodone,McKesson,161
174,143606,Tioconazole,AmerisourceBergen,120
175,186831,Avinza,CARDINAL,42
176,121866,Rabeprazole,CARDINAL,97
177,130088,Xarelto,CARDINAL,15
178,121276,Adapalene / benzoyl peroxide,McKesson,135
179,190984,Seasonique,McKesson,57
180,141129,Icosapent,McKesson,16
181,129696,Tramadol,McKesson,114
182,100921,Oxymorphone,McKesson,95
183,186809,Amlodipine,CARDINAL,16
184,178817,Bactrim,McKesson,76
185,146861,Methylprednisolone,AmerisourceBergen,63
186,166527,Gabapentin,AmerisourceBergen,29
187,199803,Pioglitazone,CARDINAL,20
188,136076,Intuniv,McKesson,159
189,139554,Etonogestrel,AmerisourceBergen,133
190,160554,Ethinyl estradiol / norethindrone,CARDINAL,59
191,139843,Lisdexamfetamine,AmerisourceBergen,67
192,127076,Venlafaxine,CARDINAL,70
193,180625,Ethinyl estradiol / levonorgestrel,AmerisourceBergen,179
194,113502,Valium,AmerisourceBergen,5
195,176241,Exenatide,CARDINAL,95
196,101223,Benzoyl peroxide / clindamycin,AmerisourceBergen,166
197,101045,Medroxyprogesterone,McKesson,118
198,142969,Ethinyl estradiol / norgestimate,McKesson,74
199,125593,GaviLyte-N,McKesson,184
200,152195,Montelukast,AmerisourceBergen,46
201,190457,ParaGard,CARDINAL,89
202,101542,Topiramate,AmerisourceBergen,78
203,160622,Depo-Provera,AmerisourceBergen,152
204,144267,Tecfidera,CARDINAL,104
205,180054,Dilantin,AmerisourceBergen,58
206,195608,Sumatriptan,CARDINAL,96
207,108250,NuvaRing,CARDINAL,116
208,197346,Methadone,McKesson,120
209,147413,Ortho Cyclen,McKesson,37
210,158724,Lorcaserin,McKesson,26
211,189255,Plan B,AmerisourceBergen,125
212,191737,Pylera,CARDINAL,144
213,146747,Amoxicillin / clavulanate,McKesson,23
214,181309,Buprenorphine / naloxone,McKesson,180
215,150361,Oxymorphone,AmerisourceBergen,34
216,132063,Sronyx,McKesson,48
217,128159,Clonazepam,CARDINAL,172
218,162004,Metoprolol,McKesson,54
219,199006,Bupropion,McKesson,172
220,113114,Pentasa,McKesson,101
221,115240,Hydroxyzine,AmerisourceBergen,180
222,150898,Adipex-P,AmerisourceBergen,132
223,184913,Drospirenone / ethinyl estradiol,AmerisourceBergen,20
224,106085,Lutera,AmerisourceBergen,170
225,144014,Hydromorphone,McKesson,3
226,168388,Ethinyl estradiol / norethindrone,McKesson,65
227,152306,Nexplanon,McKesson,159
228,116487,Varenicline,AmerisourceBergen,199
229,103169,Niacin,CARDINAL,185
230,190166,Clonazepam,McKesson,194
231,196107,Escitalopram,McKesson,133
232,189907,Paroxetine,CARDINAL,133
233,146762,Symbyax,CARDINAL,117
234,124640,Suprep Bowel Prep Kit,AmerisourceBergen,33
235,199096,Buprenorphine / naloxone,CARDINAL,196
236,112677,Dulcolax,McKesson,21
237,160469,Nexium,McKesson,150
238,163671,Ambien,McKesson,178
239,193079,Tadalafil,AmerisourceBergen,94
240,151536,Savella,CARDINAL,133
241,157925,Quetiapine,McKesson,137
242,121203,Drospirenone / ethinyl estradiol,CARDINAL,188
243,194635,Clotrimazole,CARDINAL,182
244,113042,Vicodin,McKesson,30
245,187022,Diazepam,CARDINAL,155
246,125757,Metformin,McKesson,198
247,110912,Tylenol with Codeine #3,AmerisourceBergen,5
248,113964,Adipex-P,McKesson,42
249,113610,Chantix,McKesson,38
250,128840,Microgestin Fe 1 / 20,McKesson,74
251,123687,Ethinyl estradiol / norethindrone,AmerisourceBergen,42
252,159399,Nuvigil,McKesson,77
253,154984,Ethinyl estradiol / etonogestrel,CARDINAL,60
254,179226,Doxylamine / pyridoxine,CARDINAL,199
255,130837,MetroCream,CARDINAL,35
256,152430,Zolpidem,AmerisourceBergen,102
257,126286,Levonorgestrel,McKesson,182
258,168512,Divalproex sodium,AmerisourceBergen,129
259,166435,Celexa,AmerisourceBergen,19
260,162063,Phentermine,McKesson,149
261,171585,Ertaczo,AmerisourceBergen,4
262,193775,Nitrofurantoin,AmerisourceBergen,17
263,190272,Gabapentin,McKesson,15
264,197583,Etonogestrel,CARDINAL,185
265,197483,Phenazopyridine,CARDINAL,26
266,147811,Vilazodone,CARDINAL,4
267,175797,Levonorgestrel,AmerisourceBergen,173
268,137523,Oseltamivir,CARDINAL,150
269,109522,Benzoyl peroxide / clindamycin,McKesson,34
270,142440,Depo-Provera,CARDINAL,176
271,153232,Amitriptyline,McKesson,66
272,197934,Levonorgestrel,McKesson,62
273,133141,Minocycline,AmerisourceBergen,161
274,177767,Plan B,AmerisourceBergen,51
275,118903,Seroquel,AmerisourceBergen,44
276,189856,Ethinyl estradiol / norgestimate,AmerisourceBergen,121
277,176612,Clarithromycin,AmerisourceBergen,121
278,134043,Clonazepam,CARDINAL,101
279,130375,Sulfamethoxazole / trimethoprim,CARDINAL,150
280,141168,Drysol,AmerisourceBergen,177
281,195475,Budeprion SR,CARDINAL,128
282,175179,Yasmin,AmerisourceBergen,166
283,194238,Macrobid,CARDINAL,1
284,172627,Pramipexole,AmerisourceBergen,161
285,113548,Atomoxetine,AmerisourceBergen,172
286,114746,Plan B,CARDINAL,147
287,194922,Propafenone,CARDINAL,14
288,152219,Nexplanon,McKesson,131
289,130351,Ethinyl estradiol / ethynodiol,CARDINAL,197
290,165357,Tinidazole,McKesson,22
291,116086,Ethinyl estradiol / norgestimate,CARDINAL,149
292,168873,Ammonium lactate / halobetasol,McKesson,33
293,178276,Qsymia,McKesson,165
294,198444,Risperidone,CARDINAL,109
295,118882,OxyContin,McKesson,187
296,125931,Topiramate,CARDINAL,22
297,161951,Gleevec,AmerisourceBergen,121
298,133685,Propranolol,McKesson,122
299,190795,Trazodone,McKesson,13
300,125350,Fulvestrant,CARDINAL,81
301,116079,Tegretol,AmerisourceBergen,96
302,103690,Tranexamic acid,CARDINAL,186
303,161293,Donepezil,McKesson,109
304,130892,Demerol,CARDINAL,28
305,169561,Vilazodone,CARDINAL,89
306,198879,Avinza,AmerisourceBergen,30
307,101383,Ethinyl estradiol / norgestimate,McKesson,154
308,172948,Citalopram,AmerisourceBergen,167
309,188559,Tioconazole,CARDINAL,114
310,137270,Levaquin,McKesson,24
311,191164,Viberzi,McKesson,153
312,114391,Quetiapine,AmerisourceBergen,176
313,186944,Amitriptyline,McKesson,29
314,119296,Lexapro,McKesson,91
315,196328,Kariva,McKesson,16
316,187711,Donnatal,CARDINAL,24
317,123432,Clindamycin / tretinoin,McKesson,43
318,108751,Azithromycin,CARDINAL,178
319,140634,Venlafaxine,AmerisourceBergen,64
320,144953,Belviq,McKesson,138
321,197726,Oxycodone,AmerisourceBergen,130
322,106206,Pristiq,CARDINAL,107
323,171014,Minocycline,AmerisourceBergen,51
324,153299,Zoloft,CARDINAL,97
325,131763,Orphenadrine,AmerisourceBergen,10
326,178187,BuSpar,AmerisourceBergen,90
327,143362,Citalopram,McKesson,32
328,146201,Cogentin,CARDINAL,154
329,150470,Effexor,CARDINAL,193
330,188122,ParaGard,CARDINAL,73
331,102421,Olanzapine,AmerisourceBergen,99
332,143996,Valacyclovir,AmerisourceBergen,161
333,154684,Minoxidil,McKesson,110
334,131070,Azithromycin Dose Pack,CARDINAL,49
335,184557,Lipitor,McKesson,130
336,105445,Phentermine,AmerisourceBergen,88
337,145801,Oxymorphone,AmerisourceBergen,104
338,129347,Gabapentin,CARDINAL,185
339,103046,Copper,AmerisourceBergen,35
340,118492,Ciprofloxacin,AmerisourceBergen,168
341,184088,Ethinyl estradiol / norethindrone,McKesson,78
342,126671,Genvoya,McKesson,135
343,169242,Sulfamethoxazole / trimethoprim,CARDINAL,116
344,146350,Gabapentin enacarbil,AmerisourceBergen,42
345,157982,Tofacitinib,CARDINAL,48
346,103394,Ethinyl estradiol / etonogestrel,AmerisourceBergen,58
347,171166,Etonogestrel,McKesson,23
348,131542,Medroxyprogesterone,McKesson,119
349,128823,Cetirizine,AmerisourceBergen,50
350,185632,Ethinyl estradiol / norethindrone,CARDINAL,45
351,127541,Cobicistat / elvitegravir / emtricitabine / tenofovir,McKesson,123
352,153701,Sensipar,McKesson,41
353,107728,Atorvastatin,McKesson,128
354,143428,Human papillomavirus vaccine,McKesson,120
355,145201,Isotretinoin,AmerisourceBergen,197
356,194586,Amitriptyline,CARDINAL,175
357,170966,Gabapentin,McKesson,94
358,155813,Ondansetron,McKesson,46
359,169076,Levlen,McKesson,113
360,144361,Azithromycin,McKesson,157
361,138879,Ethinyl estradiol / levonorgestrel,AmerisourceBergen,26
362,179103,Alprazolam,CARDINAL,10
363,189271,Ethinyl estradiol / levonorgestrel,AmerisourceBergen,10
364,121642,Eluxadoline,CARDINAL,121
365,155189,Tylenol with Codeine #3,McKesson,131
366,115176,Ethinyl estradiol / norgestimate,AmerisourceBergen,149
367,192370,Exalgo,CARDINAL,162
368,197771,Campral,McKesson,7
369,193414,Trintellix,AmerisourceBergen,143
370,179403,Phentermine,McKesson,12
371,182446,Butrans,AmerisourceBergen,74
372,148083,Hydromorphone,CARDINAL,62
373,191913,Tecfidera,McKesson,63
374,169605,Norethindrone,AmerisourceBergen,165
375,146390,Phentermine / topiramate,McKesson,132
376,133460,Etonogestrel,AmerisourceBergen,43
377,100018,Venlafaxine,CARDINAL,27
378,101573,Prozac,AmerisourceBergen,86
379,123118,Azithromycin,CARDINAL,144
380,198047,Keflex,McKesson,14
381,131515,Vardenafil,AmerisourceBergen,175
382,188465,Milnacipran,McKesson,31
383,141703,Tretinoin,CARDINAL,3
384,154789,Midazolam,McKesson,103
385,178891,Naprosyn,CARDINAL,158
386,104905,Phentermine / topiramate,AmerisourceBergen,91
387,159259,Tramadol,CARDINAL,174
388,185534,Miconazole,CARDINAL,153
389,130283,ParaGard,McKesson,197
390,137986,Drospirenone / ethinyl estradiol,AmerisourceBergen,193
391,126084,Hydromorphone,AmerisourceBergen,149
392,166808,Nexplanon,CARDINAL,8
393,111194,Medroxyprogesterone,AmerisourceBergen,174
394,147788,Naproxen,CARDINAL,42
395,115139,Metformin,AmerisourceBergen,29
396,168846,Lidocaine,AmerisourceBergen,190
397,112294,Metoclopramide,AmerisourceBergen,59
398,144154,Nasacort Allergy 24HR,CARDINAL,184
399,161238,ParaGard,McKesson,67
400,175728,Etonogestrel,CARDINAL,154
401,156552,Vilazodone,AmerisourceBergen,133
402,112889,Loestrin 24 Fe,AmerisourceBergen,62
403,149589,Levonorgestrel,McKesson,128
404,165920,Hydrocodone,CARDINAL,34
405,107998,Etodolac,AmerisourceBergen,100
406,145200,Plan B,AmerisourceBergen,40
407,196560,Phendimetrazine,CARDINAL,150
408,150092,Medroxyprogesterone,CARDINAL,32
409,103644,Demerol,AmerisourceBergen,164
410,140560,Dapagliflozin,McKesson,10
411,108484,Sertraline,McKesson,191
412,120391,ParaGard,CARDINAL,164
413,130260,Plan B One-Step,CARDINAL,11
414,125524,Butrans,McKesson,125
415,115976,Xyzal,CARDINAL,75
416,175821,Abilify,AmerisourceBergen,68
417,134237,Melatonin,McKesson,187
418,173424,Fentanyl,AmerisourceBergen,91
419,197605,Vilazodone,CARDINAL,24
420,131916,Pegfilgrastim,AmerisourceBergen,127
421,123510,Ethinyl estradiol / levonorgestrel,CARDINAL,86
422,116803,Armodafinil,McKesson,14
423,177042,Latuda,CARDINAL,17
424,160435,ella,CARDINAL,3
425,151923,Bactrim,McKesson,140
426,146900,Mesalamine,CARDINAL,83
427,171242,Qsymia,AmerisourceBergen,90
428,122863,Tretinoin,McKesson,64
429,102265,Tretinoin,McKesson,88
430,140729,Bupropion / naltrexone,McKesson,54
431,113774,Suprep Bowel Prep Kit,AmerisourceBergen,161
432,110874,Sprintec,AmerisourceBergen,135
433,160739,Escitalopram,AmerisourceBergen,126
434,185646,Levofloxacin,CARDINAL,71
435,179333,Plan B One-Step,McKesson,197
436,189510,Lorazepam,CARDINAL,83
437,196995,Medroxyprogesterone,AmerisourceBergen,67
438,118541,Limbrel,AmerisourceBergen,178
439,178865,Docosanol,McKesson,35
440,155151,Viibryd,CARDINAL,200
441,197862,Topiramate,AmerisourceBergen,195
442,158525,Levonorgestrel,McKesson,190
443,172035,Lasix,McKesson,91
444,135771,Azithromycin,AmerisourceBergen,183
445,155416,Hydroxyzine,CARDINAL,74
446,135351,Wellbutrin,CARDINAL,100
447,129776,Ethinyl estradiol / levonorgestrel,McKesson,107
448,165635,Acetaminophen / hydrocodone,CARDINAL,16
449,165133,Nortriptyline,AmerisourceBergen,43
450,124161,Paxil,McKesson,86
451,147837,Depo-Provera,CARDINAL,105
452,121198,Ethinyl estradiol / norgestimate,McKesson,96
453,178508,Uptravi,AmerisourceBergen,6
454,188962,Xiidra,AmerisourceBergen,76
455,123597,Nexplanon,AmerisourceBergen,97
456,139904,Wellbutrin,McKesson,195
457,178112,Loestrin 24 Fe,McKesson,40
458,150256,Dapsone,CARDINAL,188
459,147555,Percocet,AmerisourceBergen,47
460,156032,Naltrexone,McKesson,32
461,178358,Prochlorperazine,CARDINAL,9
462,195926,Tioconazole,AmerisourceBergen,6
463,165913,Trintellix,CARDINAL,22
464,137386,Minastrin 24 Fe,CARDINAL,80
465,174562,Tadalafil,CARDINAL,198
466,142483,Ziprasidone,AmerisourceBergen,161
467,132731,Ethinyl estradiol / norgestimate,AmerisourceBergen,85
468,162649,Levonorgestrel,AmerisourceBergen,151
469,181663,Sprintec,CARDINAL,143
470,148480,Ustekinumab,CARDINAL,31
471,134511,Wellbutrin XL,McKesson,60
472,162842,Ethinyl estradiol / norethindrone,CARDINAL,79
473,150759,Canagliflozin,McKesson,115
474,112798,Sprintec,McKesson,66
475,129880,Prazosin,McKesson,43
476,140707,Bisacodyl,CARDINAL,143
477,107568,Accutane,McKesson,26
478,171143,Crestor,McKesson,85
479,104641,Lorcaserin,AmerisourceBergen,64
480,114542,Celecoxib,McKesson,56
481,150186,Implanon,CARDINAL,194
482,198025,NuvaRing,CARDINAL,159
483,119129,Tadalafil,McKesson,43
484,118963,Miconazole,CARDINAL,68
485,137041,Prozac,McKesson,49
486,128257,Minocycline,AmerisourceBergen,191
487,101674,Adipex-P,AmerisourceBergen,1
488,139693,Orlistat,AmerisourceBergen,53
489,181722,Celexa,McKesson,97
490,124706,Chlordiazepoxide,CARDINAL,115
491,162529,Uptravi,CARDINAL,119
492,124196,Vortioxetine,AmerisourceBergen,29
493,171597,Anastrozole,McKesson,87
494,172832,Oseltamivir,McKesson,46
495,150810,Nucynta ER,AmerisourceBergen,57
496,184691,Geodon,CARDINAL,198
497,188434,Levonorgestrel,AmerisourceBergen,162
498,140849,Ledipasvir / sofosbuvir,CARDINAL,95
499,168350,Olanzapine,CARDINAL,18
500,184500,Mesalamine,McKesson,25
501,127569,Rapaflo,AmerisourceBergen,99
502,161733,Suprep Bowel Prep Kit,McKesson,129
503,149831,Mirena,McKesson,69
504,153201,Pristiq,AmerisourceBergen,73
