,medicine_id,purchase_date,purchase_amount,purchase_price
0,131835,2018.4.24,326,257
1,180392,2018.6.11,152,261
2,114025,2018.11.18,102,260
3,114597,2018.9.10,244,61
4,180785,2018.6.12,88,58
5,181102,2018.3.17,234,56
6,184500,2018.5.5,50,189
7,198804,2018.11.23,260,187
8,188526,2018.11.10,266,192
9,135567,2018.9.17,384,145
10,128951,2018.4.13,4,145
11,151680,2018.3.9,218,141
12,194428,2018.7.1,278,282
13,141740,2018.2.19,244,281
14,187642,2018.12.21,258,279
15,127797,2018.8.24,164,116
16,108563,2018.2.1,188,120
17,147708,2018.10.27,362,117
18,130596,2018.3.24,386,99
19,172116,2018.11.1,174,94
20,153338,2018.7.17,184,91
21,187847,2018.6.13,232,266
22,135866,2018.12.14,250,261
23,178327,2018.1.18,12,257
24,188697,2018.7.27,334,27
25,189258,2018.5.15,126,24
26,128959,2018.10.17,66,19
27,152585,2018.4.27,146,23
28,170291,2018.6.17,80,21
29,145304,2018.6.27,292,21
30,106985,2018.2.26,8,119
31,141130,2018.8.27,194,121
32,185356,2018.11.16,380,116
33,132501,2018.8.27,92,104
34,179082,2018.9.26,18,100
35,136377,2018.5.25,208,98
36,165293,2018.5.12,220,67
37,178400,2018.2.1,336,63
38,133986,2018.7.23,284,61
39,144953,2018.2.19,276,206
40,183669,2018.12.22,182,207
41,126001,2018.12.25,10,209
42,193674,2018.5.17,124,291
43,145631,2018.2.20,386,288
44,151839,2018.7.21,44,286
45,199567,2018.7.18,64,233
46,101786,2018.9.2,130,232
47,191204,2018.4.8,12,233
48,158402,2018.8.10,16,233
49,161201,2018.1.8,242,236
50,110220,2018.7.3,178,239
51,113610,2018.1.27,76,48
52,124794,2018.5.2,394,45
53,197912,2018.10.3,262,40
54,151063,2018.12.22,220,105
55,169174,2018.6.1,72,103
56,169283,2018.2.9,302,100
57,158769,2018.11.7,2,278
58,187027,2018.6.3,272,278
59,113222,2018.5.17,370,274
60,122045,2018.11.13,164,114
61,162420,2018.9.3,328,114
62,117470,2018.12.21,84,111
63,104323,2018.9.9,322,244
64,157140,2018.4.10,364,245
65,161508,2018.3.12,252,244
66,141673,2018.1.20,40,155
67,136782,2018.9.27,258,150
68,167936,2018.9.9,298,152
69,107449,2018.3.6,18,237
70,117452,2018.7.22,118,242
71,119649,2018.4.13,362,238
72,113744,2018.5.14,260,275
73,103812,2018.12.7,124,275
74,182816,2018.1.16,22,274
75,115571,2018.6.21,268,123
76,117748,2018.11.26,2,123
77,149102,2018.10.4,338,119
78,142356,2018.5.27,160,194
79,139684,2018.8.16,332,193
80,136048,2018.2.15,322,194
81,128305,2018.4.18,18,172
82,185543,2018.4.20,10,174
83,112936,2018.3.27,306,176
84,164299,2018.2.17,342,235
85,113099,2018.10.10,378,233
86,169621,2018.9.3,310,234
87,155486,2018.12.13,168,225
88,173928,2018.12.6,258,222
89,184740,2018.7.10,326,225
90,116132,2018.1.20,304,198
91,104765,2018.1.14,322,200
92,119032,2018.2.7,362,201
93,110736,2018.1.5,164,185
94,149610,2018.10.15,398,186
95,107912,2018.5.11,50,191
96,175567,2018.10.22,326,39
97,138531,2018.7.3,370,38
98,107417,2018.5.27,282,37
99,109594,2018.3.2,162,158
100,121127,2018.7.18,122,160
101,177790,2018.6.10,242,159
102,112586,2018.7.12,100,15
103,141290,2018.7.24,278,11
104,124916,2018.8.10,142,6
105,148862,2018.12.5,8,23
106,185594,2018.12.13,88,24
107,161602,2018.2.24,148,27
108,185365,2018.9.11,232,200
109,150877,2018.4.25,314,203
110,197357,2018.5.4,122,208
111,182354,2018.4.23,276,294
112,110656,2018.3.18,42,289
113,136398,2018.9.9,112,287
114,135861,2018.10.12,78,225
115,162184,2018.11.3,148,225
116,190687,2018.8.25,328,224
117,135099,2018.10.7,396,115
118,154294,2018.4.13,136,120
119,130938,2018.5.24,176,123
120,187903,2018.4.21,58,281
121,190777,2018.5.18,152,286
122,186089,2018.12.6,74,283
123,197771,2018.12.10,14,211
124,194643,2018.6.23,194,209
125,177269,2018.4.26,88,207
126,173144,2018.1.10,374,151
127,104070,2018.2.9,42,148
128,108152,2018.4.11,292,148
129,102146,2018.2.6,24,179
130,111950,2018.10.10,100,180
131,180763,2018.5.12,144,182
132,107004,2018.1.10,134,68
133,176425,2018.5.17,260,65
134,179294,2018.2.9,372,65
135,166778,2018.3.6,162,27
136,130260,2018.11.27,22,32
137,139501,2018.2.16,56,31
138,198361,2018.9.4,374,42
139,101638,2018.4.25,186,42
140,155464,2018.10.6,340,46
141,167226,2018.1.10,132,154
142,192972,2018.4.22,122,154
143,128107,2018.12.4,74,156
144,166308,2018.9.16,192,274
145,117893,2018.2.23,384,270
146,155969,2018.3.16,50,268
147,167739,2018.5.5,52,240
148,126782,2018.9.18,122,240
149,107437,2018.3.10,92,242
150,161551,2018.4.16,94,73
151,193805,2018.2.24,6,68
152,163686,2018.3.16,86,65
153,161063,2018.5.26,272,219
154,104828,2018.6.7,16,223
155,159999,2018.8.15,210,227
156,119027,2018.10.18,110,188
157,139656,2018.11.17,72,184
158,166096,2018.11.1,224,182
159,150406,2018.7.11,400,82
160,121343,2018.4.12,14,83
161,193775,2018.7.25,34,84
162,171166,2018.11.16,46,92
163,106877,2018.10.25,168,97
164,138552,2018.3.14,246,100
165,185077,2018.4.2,190,191
166,108923,2018.11.22,40,186
167,144979,2018.11.5,230,182
168,170775,2018.12.14,170,259
169,182891,2018.3.9,156,256
170,146667,2018.8.26,328,256
171,179404,2018.5.11,384,94
172,157982,2018.12.10,96,89
173,159654,2018.3.10,212,94
174,176814,2018.10.2,110,81
175,137629,2018.1.19,110,80
176,155391,2018.1.18,20,76
177,125991,2018.1.5,200,243
178,118292,2018.6.3,288,245
179,147528,2018.12.9,352,250
180,149520,2018.7.25,358,265
181,165506,2018.2.26,190,268
182,168206,2018.11.1,324,273
183,164173,2018.5.24,140,29
184,108208,2018.3.25,32,25
185,110559,2018.11.25,118,23
186,183654,2018.11.10,124,221
187,130013,2018.11.21,204,222
188,130482,2018.4.4,382,227
189,130664,2018.2.6,234,208
190,103819,2018.1.8,94,205
191,159686,2018.1.17,216,205
192,198952,2018.10.7,46,170
193,109921,2018.10.17,270,175
194,190090,2018.10.5,150,179
195,169296,2018.11.14,72,169
196,106387,2018.5.9,242,164
197,147431,2018.8.9,362,159
198,121460,2018.7.25,12,100
199,125926,2018.5.19,98,97
200,148308,2018.12.21,282,100
201,146688,2018.10.6,228,68
202,120268,2018.2.10,142,70
203,184872,2018.4.4,168,70
204,177722,2018.9.4,204,111
205,141509,2018.7.16,8,113
206,171943,2018.2.7,18,116
207,165938,2018.7.7,28,85
208,167748,2018.4.15,264,89
209,177291,2018.4.22,96,86
210,149020,2018.7.19,240,73
211,148150,2018.4.2,354,71
212,187324,2018.3.21,194,73
213,196618,2018.2.6,374,273
214,182080,2018.7.18,40,273
215,161580,2018.6.8,154,277
216,110896,2018.6.18,284,74
217,178103,2018.8.6,144,71
218,187919,2018.12.26,304,76
219,101018,2018.5.24,280,288
220,101117,2018.1.15,276,288
221,174539,2018.8.14,42,284
222,179190,2018.11.9,270,14
223,131756,2018.10.4,396,17
224,198690,2018.9.2,262,22
225,116085,2018.9.8,320,81
226,150669,2018.5.6,248,76
227,166885,2018.11.13,100,78
228,154892,2018.4.24,64,222
229,117837,2018.1.16,376,226
230,102011,2018.7.24,174,228
231,157150,2018.5.22,238,121
232,105099,2018.3.25,244,120
233,165038,2018.6.1,106,115
234,121052,2018.12.17,38,190
235,182937,2018.5.18,74,190
236,117969,2018.8.5,80,189
237,172108,2018.1.17,142,167
238,185258,2018.10.14,42,167
239,115749,2018.1.11,10,168
240,173150,2018.3.22,22,296
241,147225,2018.12.22,216,301
242,197652,2018.8.9,362,305
243,136643,2018.6.26,96,87
244,154905,2018.5.9,72,86
245,100516,2018.8.8,272,82
246,172813,2018.9.18,80,233
247,102019,2018.5.25,54,228
248,105501,2018.2.12,114,233
249,172568,2018.3.10,338,173
250,128896,2018.12.24,90,170
251,148045,2018.3.16,158,169
252,143186,2018.8.13,178,270
253,129282,2018.12.3,70,269
254,105274,2018.11.7,296,271
255,175220,2018.3.19,164,211
256,165635,2018.11.13,32,215
257,169928,2018.11.20,212,212
258,109464,2018.8.23,110,254
259,141090,2018.12.6,374,259
260,115650,2018.9.4,384,262
261,100092,2018.2.14,114,61
262,174671,2018.4.15,246,66
263,169372,2018.3.14,52,67
264,126158,2018.2.6,330,211
265,142982,2018.8.2,382,209
266,160650,2018.9.23,396,213
267,119074,2018.3.17,180,228
268,188559,2018.9.19,228,229
269,166440,2018.10.22,184,230
270,143922,2018.2.23,160,125
271,189096,2018.4.14,166,126
272,163863,2018.1.17,298,126
273,142144,2018.1.13,332,70
274,127335,2018.4.20,70,73
275,148184,2018.9.15,274,73
276,140805,2018.4.17,142,80
277,125504,2018.1.13,12,77
278,145652,2018.7.18,312,80
279,171120,2018.2.10,258,234
280,193013,2018.12.10,258,233
281,100534,2018.12.6,288,235
282,151550,2018.9.14,312,250
283,134074,2018.11.22,174,255
284,127265,2018.8.26,300,253
285,154684,2018.12.7,220,138
286,172714,2018.6.5,16,143
287,130675,2018.7.5,238,139
288,125737,2018.9.21,258,295
289,148577,2018.9.6,68,295
290,150832,2018.9.19,136,291
291,102259,2018.5.3,388,157
292,134238,2018.2.22,224,156
293,145129,2018.3.1,276,155
294,120036,2018.4.23,90,157
295,139224,2018.5.7,232,154
296,101608,2018.7.14,108,155
297,170306,2018.10.12,152,181
298,197483,2018.6.12,52,184
299,152388,2018.2.15,54,179
300,133271,2018.10.10,8,289
301,198288,2018.3.16,66,291
302,157719,2018.1.14,104,293
303,136857,2018.2.12,362,201
304,138414,2018.12.22,350,200
305,188835,2018.12.8,170,195
306,180891,2018.10.19,266,162
307,128674,2018.8.3,120,158
308,146421,2018.3.13,204,163
309,139174,2018.10.2,152,125
310,117646,2018.3.1,258,125
311,107897,2018.6.23,386,130
312,142867,2018.9.16,212,229
313,171443,2018.3.14,290,224
314,167046,2018.11.10,326,227
315,114542,2018.8.10,112,145
316,195171,2018.5.27,36,140
317,182542,2018.6.4,146,143
318,182762,2018.8.15,286,208
319,160368,2018.4.10,32,208
320,196569,2018.9.23,188,207
321,150721,2018.6.13,364,120
322,180464,2018.4.11,284,118
323,121588,2018.12.8,246,118
324,182247,2018.1.3,198,293
325,144652,2018.2.2,22,296
326,145739,2018.7.14,66,300
327,146407,2018.10.17,306,240
328,179165,2018.10.6,206,236
329,173342,2018.5.17,232,240
330,158047,2018.2.9,286,263
331,157669,2018.4.14,36,265
332,182451,2018.7.4,168,269
333,188862,2018.7.11,294,274
334,179829,2018.1.7,158,278
335,117611,2018.4.25,252,278
336,130395,2018.10.8,174,138
337,141044,2018.5.14,334,138
338,105042,2018.3.18,362,138
339,184690,2018.1.24,160,260
340,173359,2018.8.25,226,265
341,129580,2018.10.6,88,262
342,126884,2018.7.19,36,226
343,176705,2018.9.10,372,227
344,161652,2018.5.1,16,224
345,133249,2018.5.25,70,36
346,152560,2018.6.8,26,34
347,145790,2018.12.25,44,37
348,159417,2018.10.9,256,186
349,172556,2018.10.16,130,181
350,171077,2018.1.10,300,183
351,165760,2018.1.1,128,35
352,197611,2018.1.1,24,30
353,178565,2018.9.7,10,33
354,118267,2018.9.7,122,70
355,146164,2018.10.20,362,71
356,178761,2018.5.2,238,73
357,181035,2018.12.25,302,282
358,186622,2018.10.1,192,284
359,182110,2018.7.5,158,281
360,145427,2018.4.15,196,183
361,181428,2018.5.17,200,187
362,112945,2018.1.18,292,184
363,183735,2018.2.23,186,248
364,199277,2018.9.22,322,243
365,135320,2018.8.22,54,244
366,152219,2018.5.22,262,252
367,127207,2018.4.27,234,256
368,123597,2018.8.6,194,254
369,100271,2018.2.13,326,232
370,123564,2018.10.11,336,237
371,146595,2018.3.11,290,240
372,196414,2018.8.13,178,126
373,107859,2018.6.15,252,127
374,124773,2018.8.11,248,131
375,183134,2018.10.3,136,110
376,121371,2018.5.27,332,107
377,173936,2018.1.14,200,111
378,185865,2018.3.18,364,149
379,169874,2018.12.21,260,144
380,180158,2018.7.5,110,148
381,178275,2018.5.22,374,45
382,150397,2018.5.9,68,42
383,194237,2018.12.18,114,46
384,180471,2018.2.25,92,106
385,167997,2018.11.17,100,105
386,159848,2018.7.7,24,107
387,116909,2018.3.26,52,131
388,174730,2018.5.25,144,134
389,144599,2018.1.4,110,137
390,173495,2018.11.23,278,33
