,program_id,treat_id,equip_id,program_cost
0,17667682,1186447920,18172,419
1,14105714,1641771126,15096,160
2,13845636,1458752079,10870,512
3,14417819,1083102931,13104,889
4,10247520,1730405609,16438,956
5,14507860,1949427456,16208,597
6,14350842,1864347596,11305,716
7,14780421,1080823807,13287,814
8,12225235,1379054082,16362,475
9,12615098,1440587091,15316,114
10,15867716,1145299240,10215,822
11,10544314,1311126027,14561,416
12,16543175,1056119573,13649,697
13,13401834,1250495092,13064,360
14,13622378,1468425106,10986,150
15,11979884,1842173030,18799,263
16,18179818,1804777028,18593,148
17,10557963,1263949817,18884,312
18,15939180,1614012271,14561,681
19,18601008,1410493844,17784,502
20,17472111,1825465432,15825,469
21,16374093,1817264322,16215,701
22,17382317,1114302175,11364,134
23,11864350,1924440814,18414,411
24,17351810,1913668582,15240,179
25,19579054,1759459345,17832,377
26,11180957,1356688243,10429,228
27,14851630,1078510172,10429,681
28,14141124,1180934323,11185,760
29,18461212,1630664315,18162,857
30,19592304,1023233697,11364,388
31,16177483,1034455866,16700,690
32,19927278,1633436832,13104,128
33,16527228,1119429978,16865,667
34,10795404,1375639250,16362,862
35,16042596,1680144983,17347,496
36,10021151,1197949372,16756,261
37,11796324,1000701416,16486,782
38,17683616,1049153938,13810,884
39,15374624,1307491602,14470,122
40,13246573,1560358980,15825,146
41,14754573,1544897150,13685,593
42,11131145,1156193909,16865,837
43,12172753,1964826572,16215,387
44,13911609,1830736912,11253,612
45,15060596,1106462605,12004,274
46,10865275,1085936358,15827,300
47,11790447,1677266202,19661,932
48,10472053,1191052309,13475,594
49,16896370,1606178484,12621,305
50,16498545,1142876089,17857,904
51,11483074,1068487329,11957,265
52,19302597,1450422776,12390,402
53,17796803,1954220142,18396,887
54,18638229,1203990601,10836,424
55,13802315,1741627892,12621,222
56,10676270,1439069502,11509,622
57,14224543,1300247418,18324,509
58,15268491,1799756908,12070,647
59,12319908,1844077352,15533,640
60,11122944,1987749150,10018,485
61,19013592,1300654799,19531,779
62,11152168,1015737210,16478,704
63,13599625,1945340709,17764,273
64,15425077,1432056108,19639,900
65,12573827,1559465276,10870,890
66,13164824,1729904113,10566,108
67,19149663,1081122345,10879,996
68,11488506,1609826241,19474,817
69,13862690,1244441243,16873,990
70,13154870,1140382389,17540,925
71,12801295,1306948286,18287,869
72,12162773,1690152190,12968,150
73,19976896,1783414984,10870,661
74,16341586,1757742675,18899,251
75,13181344,1052401163,16231,424
76,15707855,1336111129,13135,115
77,10060451,1803772166,13135,943
78,13865040,1317748140,17683,221
79,19398940,1879966262,11185,306
80,12331344,1518714699,10595,369
81,18291193,1787488627,18823,213
82,10352519,1754602940,19528,896
83,17009356,1324507453,19694,303
84,14726183,1783482276,17683,542
85,15523692,1893028347,19895,261
86,10522180,1884643021,12390,779
87,14164684,1728927107,15316,655
88,15896957,1861317484,11048,907
89,16198238,1210481945,10665,377
90,10960593,1192096367,19195,783
91,14413149,1351556979,19234,349
92,13208671,1362927069,14177,234
93,10817788,1945341066,14209,240
94,10652593,1130010481,16689,481
95,13375888,1677266202,13357,789
96,17394959,1887821960,17596,233
97,11755168,1983428916,14309,938
98,19067655,1897468802,13357,578
99,13425924,1956721395,10566,844
100,17618039,1249951964,12777,940
101,10704911,1326213018,14235,746
102,18929949,1341003491,15096,174
103,19832658,1417461861,19661,698
104,17242770,1609855753,17857,467
105,10109524,1681055410,12183,339
106,17996318,1588426624,15827,769
107,19729042,1895446534,13810,156
108,11139209,1087185005,18687,339
109,17817423,1573562615,10791,364
110,10686245,1143916116,10686,293
111,16466131,1098919368,17784,133
112,11183099,1247385923,15973,688
113,10618303,1651978519,12470,274
114,14894996,1478152696,13104,814
115,18245085,1727545262,11296,444
116,11318510,1451190984,10870,339
117,12588751,1075785263,16756,412
118,13391539,1649000658,13287,777
119,18417724,1586706066,18593,328
120,17482287,1674413870,10980,660
121,11849226,1162890873,18017,135
122,14211852,1018851175,10342,199
123,17835649,1664556382,17832,795
124,12042301,1081210223,18823,840
125,13455330,1824376235,13757,236
126,18174969,1270849536,13649,100
127,15297496,1149028058,10682,734
128,14899509,1381482643,12453,995
129,19066899,1019049807,15260,953
130,10523562,1291523298,11627,342
131,19807858,1625477591,18823,459
132,16189950,1220052588,15533,319
133,15103347,1144428687,17618,513
134,18644895,1820423704,16865,758
135,13129519,1662070008,15973,930
